Ticker,Closing Price,Return,Volatility,ESG score
FMC,64.06999969482422,-0.02527487608916159,0.41910366502721996,84
ANSS,330.2900085449219,0.0027893582122366783,0.29910975723039973,24
ORCL,125.52999877929688,7.968242515937273e-05,0.3287149705759566,1
EQIX,864.719970703125,-0.0028984804337815117,0.23768325054510978,13
ZBH,125.7300033569336,-0.006816711415204226,0.21101817704657808,48
DVN,47.86000061035156,0.009446921537528448,0.304585394036931,13
SWKS,105.12999725341797,-0.021176265954109444,0.2861186056725125,61
LDOS,127.79000091552734,-0.0021887478422391456,0.252272689609679,0
RVTY,104.87999725341797,-0.02931441385662874,0.3212005255661637,63
AVY,215.97000122070312,0.005292488591278702,0.20487162407943205,38
ARE,123.48999786376953,-0.013672438942260797,0.3324033695100756,65
VTRS,11.819999694824219,-0.019271689605925492,0.2746159673714052,97
AIG,75.8499984741211,0.004757516824140676,0.2386418996689141,90
TRGP,105.63999938964844,-0.0073564303110210975,0.24530845969319712,13
TSN,56.04999923706055,0.0032165915532132686,0.28920367322301854,21
AES,15.029999732971191,-0.04679217927314686,0.3507688542852259,56
WEC,80.37999725341797,-0.004840213041478528,0.1977235240161389,59
BA,181.14999389648438,-0.0066025670781932975,0.3002609362486525,19
QCOM,168.4499969482422,-0.004737960056520897,0.30732388228303603,47
EBAY,52.25,-0.0030575190577274932,0.2752592222781771,66
PFE,28.1299991607666,-0.0031943294251336554,0.2405313791837898,22
GOOGL,143.10000610351562,0.02340248075970565,0.2782683829848501,16
LRCX,925.6799926757812,-0.0011121085677315548,0.35159403199269734,92
CDW,246.47999572753906,-0.008685030264630203,0.24029986188259156,26
PEP,164.77999877929688,-0.0031507798095472966,0.1533091212216273,14
ADI,194.42999267578125,-0.021220618906254308,0.25411318075150324,99
ATO,114.9000015258789,-0.011508817402663239,0.17928335797358785,33
AMP,413.95001220703125,-0.006741298556944668,0.22255839766079635,28
UAL,42.849998474121094,-0.004424327691062792,0.36070398326500125,83
DLR,142.80999755859375,-0.007811961017854597,0.317512067689606,55
MRO,26.260000228881836,0.013803923613706595,0.3326262151441998,5
CME,219.41000366210938,0.00022792374814759953,0.1737308493249911,95
VICI,28.81999969482422,-0.016859156519449036,0.1957445380952233,48
ETN,300.2900085449219,0.00016658055638931444,0.26558240382291814,38
VRSN,190.5800018310547,-0.003091011434935206,0.18129208973264527,60
CSCO,49.790000915527344,-0.006406422110001174,0.19655208360224558,9
BIO,332.3999938964844,-0.012051037280948477,0.3455341259046263,37
MCK,529.3599853515625,0.017436083588368276,0.20039283114469933,42
COO,101.5,-0.008437218772539716,0.2272324578505201,39
GEHC,88.33000183105469,-0.001696754227307131,0.2878050259170387,21
CARR,57.310001373291016,-0.009551157570606048,0.2929838634525527,80
CDNS,306.239990234375,9.796319770664153e-05,0.2751234301580607,56
JKHY,170.80999755859375,-0.00897551501950889,0.22720637998682025,21
ROST,146.02000427246094,-0.007300991546823435,0.19747488801673502,35
ETR,102.48999786376953,-0.004866663395429702,0.19562311245454028,83
EFX,256.7099914550781,-0.019557441888696427,0.2775144294286844,47
UNP,246.05999755859375,-0.012881010131920553,0.19475424019694354,29
COR,237.67999267578125,0.012318870662977986,0.1577898528048756,56
MS,89.0999984741211,-0.0028019071765902166,0.2548437706227095,73
XEL,51.880001068115234,0.0073515723667413576,0.2306936809832336,66
